sample,type,family,species,tree.pos.zone,tree.pos.x,tree.pos.y,canopy_diameter_NS,canopy_diameter_EW,h_tree,h_crown
L_1,tree,Euphorbiaceae,Jatropha_mollissima,B,2.34,0.32,0.67,0.6,2.3,0.6
L_3,tree,Euphorbiaceae,Sapium_glandulosum,B,4.37,1.62,3.3,2.35,4.3,2.7
L_4,tree,Euphorbiaceae,Cnidoscolus_quercifolius,B,4.75,0.83,2.65,3,4.6,1.6
L_5,tree,Euphorbiaceae,Croton_echioides,B,9.78,1.54,NA,NA,2.9,NA
L_6,tree,Fabaceae,Chloroleucon_foliolosum,B,12.88,6.6,2.65,2.65,4.2,2.3
L_7,tree,Bignoniaceae,Handroanthus_spongiosus,A,11.95,6.9,1.1,0.77,2.8,2.3
L_8,tree,Malvaceae,Pseudobombax_simplicifolium,B,12.99,8.5,2.4,2.3,4.7,2.9
L_9,tree,Fabaceae,Senna_macranthera,B,13.1,8.7,1.6,1.45,4,0.8
L_10,tree,Euphorbiaceae,Jatropha_mollissima,A,11.82,9.4,1.55,1.1,3.1,1.2
L_11,tree,Euphorbiaceae,Sapium_glandulosum,B,12.54,11.1,3.6,3.4,5.3,3.5
L_12,tree,Cactaceae,Cereus_albicaulis,B,8.45,12.15,1.95,2.05,1.73,NA
L_13,tree,Fabaceae,Mimosa_arenosa,B,6.1,13.4,7.7,6.85,5.8,4.3
L_14,tree,Bignoniaceae,Handroanthus_spongiosus,B,3.83,12.7,1.52,1.8,3.5,1.6
L_15,tree,Bignoniaceae,Handroanthus_spongiosus,B,2.1,12.15,2.7,3.4,5.16,2.96
L_16,tree,Bignoniaceae,Handroanthus_spongiosus,B,3.42,13.6,1.77,2.05,2.45,1.35
L_17,tree,Bignoniaceae,Handroanthus_spongiosus,B,1.1,13.6,1.18,1.35,2.5,2
L_18,tree,Fabaceae,Cenostigma_microphyllum,B,1.9,10.2,2.6,2.6,4.35,2.05
L_19,tree,Euphorbiaceae,Jatropha_mollissima,B,0.61,5.8,1.6,2.05,3.1,1.35
L_20,tree,Euphorbiaceae,Sapium_glandulosum,B,0.7,3.5,2.15,2.5,3.5,1.35
L_21,tree,Bignoniaceae,Handroanthus_spongiosus,B,1,3.1,1.97,1.55,2.7,1.6
L_22,tree,Euphorbiaceae,Jatropha_mollissima,A,2.93,3.2,1,1.45,3,1.1
L_23,tree,Euphorbiaceae,Jatropha_mollissima,A,2.12,3.9,1.4,1.3,2.85,0.6
L_24,tree,Euphorbiaceae,Sapium_glandulosum,A,3.77,2.4,1.05,0.92,3.35,1.85
L_25,tree,Euphorbiaceae,Croton_echioides,A,3.45,3.1,NA,NA,NA,NA
L_26,tree,Euphorbiaceae,Sapium_glandulosum,A,6.92,4.8,1.86,2.24,4.9,2.9
L_27,tree,Bignoniaceae,Handroanthus_spongiosus,A,7.03,4.5,2.5,2.35,2.4,1.5
L_28,tree,Euphorbiaceae,Manihot_carthagenensis,A,9.8,5.85,1.92,1.38,5.05,2.85
L_29,tree,Euphorbiaceae,Cnidoscolus_quercifolius,A,9.9,5.7,4.24,4.97,7.25,4.05
L_30,tree,Burseraceae,Commiphora_leptophloeos,A,10.88,5.75,6.27,6.55,4.5,1.5
L_31,tree,Euphorbiaceae,Sapium_glandulosum,A,11.25,5.9,2.84,3.07,4,1.5
L_32,tree,Euphorbiaceae,Sapium_glandulosum,A,8.2,7.5,1.3,1.64,4.3,2.35
L_33,tree,Malvaceae,Pseudobombax_simplicifolium,A,9.6,9.2,2.62,1.95,4.9,3.1
L_34,tree,Anacardiaceae,Schinopsis_brasiliensis,A,10.24,10.4,2.7,2.18,7.3,5.3
L_35,tree,Anacardiaceae,Schinopsis_brasiliensis,A,8.37,9.2,4.5,4.9,7.13,4.43
L_36,tree,Fabaceae,Cenostigma_microphyllum,A,8.45,9.4,4.26,3.37,4.2,2.55
L_37,tree,Bignoniaceae,Handroanthus_spongiosus,A,8.18,8.85,4,4.37,4.1,2.3
L_38,tree,Bignoniaceae,Handroanthus_spongiosus,A,6.74,9.4,2.46,2.7,4.1,2.55
L_39,tree,Burseraceae,Commiphora_leptophloeos,A,3.54,6.35,2.76,3.45,3.5,2.4
L_40,tree,Bignoniaceae,Handroanthus_spongiosus,A,5.15,7.1,2.14,2.27,3.6,2
L_41,tree,Euphorbiaceae,Jatropha_mollissima,A,2.2,6.3,0.25,1.08,1.9,1
L_42,tree,Bignoniaceae,Handroanthus_spongiosus,A,4.32,7.3,1.68,1.78,2.9,2.5
L_43,tree,Bignoniaceae,Handroanthus_spongiosus,A,2.58,9.9,3.05,3.15,2.85,2.1
L_RTPa,shrub,Ehretiaceae,Varronia_leucocephala,NA,NA,NA,NA,NA,NA,NA
L_RTPb,shrub,Bromeliaceae,Neoglaziovia_variegata,NA,NA,NA,NA,NA,NA,NA
L_RTPc,shrub,Fabaceae,Calliandra_depauperata,NA,NA,NA,NA,NA,NA,NA
L_RTPd,shrub,Cactaceae,Tacinga_inamoena,NA,NA,NA,NA,NA,NA,NA
L_RTPe,shrub,Euphorbiaceae,Ditaxis_desertorum,NA,NA,NA,NA,NA,NA,NA